Version,id
1.5.114,866606489
24.145.669,868807725
24.145.671,868997171
24.286.1185,869673436
24.301.1014,870021600
24.317.82,870385282
24.331.870,870696476
24.334.1149,870999796
24.365.44,871450953
25.10.1046,871718351
25.20.1023,871897638
25.57.1210,872816444
25.59.2000,872884671
25.64.983,873022479
25.84.1372,873486187
25.90.1234,873711255
25.133.740,874705826
25.188.1087,876194492
25.217.866,876436017
25.224.634,877186464
25.251.759,877409067
25.316.731,879678197
25.352.1654,880806622
26.008.1740,881354231
